資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130620",="00857B","26.388","688,768,000","18,175,105,994"
"1130620",="00856B","39.085","8,292,000","324,091,457"
"1130620",="00853B","30.068","65,634,000","1,973,460,326"
"1130620",="00849B","37.384","526,106,000","19,668,112,314"
"1130620",="00848B","35.869","206,066,000","7,391,391,230"
"1130620",="00847B","28.343","11,305,000","320,417,174"
"1130620",="00846B","35.968","74,350,000","2,674,181,606"
"1130620",="00845B","33.507","201,551,000","6,753,445,822"
"1130620",="00844B","33.753","213,675,000","7,212,138,965"
"1130620",="00842B","33.84","9,767,000","330,558,730"
"1130620",="00841B","32.243","80,940,000","2,609,759,481"
"1130620",="00840B","32.449","59,431,000","1,928,493,829"
"1130620",="00836B","31.675","378,041,000","11,974,585,653"
"1130620",="00834B","35.579","20,198,000","718,631,228"
"1130620",="00831B","40.868","100,000","4,086,757"
"1130620",="00799B","33.456","9,036,000","302,311,980"
"1130620",="00795B","30.8","1,511,598,000","46,556,649,317"
"1130620",="00794B","41.101","31,687,000","1,302,358,014"
"1130620",="00793B","33.778","4,526,000","152,880,377"
"1130620",="00792B","34.737","1,579,115,000","54,852,923,969"
"1130620",="00791B","56.398","253,600,000","14,302,611,995"
"1130620",="00790B","56.025","2,100,000","117,651,624"
"1130620",="00789B","53.378","278,100,000","14,844,357,542"
"1130620",="00788B","32.421","35,206,000","1,141,426,520"
"1130620",="00787B","35.496","15,806,000","561,047,546"
"1130620",="00786B","34.543","37,566,000","1,297,642,753"
"1130620",="00785B","36.45","906,966,000","33,058,638,570"
"1130620",="00784B","38.823","2,993,000","116,196,927"
"1130620",="00782B","33.476","21,967,000","735,355,411"
"1130620",="00781B","33.469","5,836,000","195,327,275"
"1130620",="00780B","37.69","238,602,000","8,992,903,129"
"1130620",="00779B","32.115","878,650,000","28,217,648,997"
"1130620",="00778B","37.255","1,366,650,000","50,914,803,759"
"1130620",="00777B","35.984","1,653,150,000","59,487,518,857"
"1130620",="00773B","37.58","2,303,790,000","86,576,419,489"
"1130620",="00772B","36.282","3,773,790,000","136,922,139,913"
"1130620",="00768B","56.432","334,600,000","18,882,138,286"
"1130620",="00764B","31.918","1,180,000,000","37,663,551,490"
"1130620",="00761B","37.411","2,575,589,000","96,354,513,317"
